sample_idx,source_file,scale_km,offset_id,cell_rank,cell_lon_center,cell_lat_center,group_tag,algorithm,hv,nd_count,converge_best_obj1,converge_best_obj2,converge_mean_obj1,converge_mean_obj2,elapsed_sec
1025,dongguan.csv,5.0,1,66,114.169706821771,22.8445167177122,dongguan.csv|s5.0|gx4|gy2,NSGA2,0.9115202822621543,51,0.5644442961122871,4660800.0,1.8630700981283053,11893552.94117647,10.016781300015282
1025,dongguan.csv,5.0,1,66,114.169706821771,22.8445167177122,dongguan.csv|s5.0|gx4|gy2,NSGA3,0.9444536809238632,44,0.5755348532375719,2860800.0,3.5768160997125533,9106418.181818182,10.071382599999197
1025,dongguan.csv,5.0,1,66,114.169706821771,22.8445167177122,dongguan.csv|s5.0|gx4|gy2,MOEAD,0.8787079789514333,24,1.0027713210915523,6391200.0,2.511547151270314,11007500.0,4.550372000026982
1026,dongguan.csv,5.0,1,67,113.888608002277,22.8696497172675,dongguan.csv|s5.0|gx3|gy2,IMOGABKA-seed,0.9650538324825324,90,1.1901642818697568e-42,552000.0,7.156116166567936,11136533.333333334,31.14249630001723
1026,dongguan.csv,5.0,1,67,113.888608002277,22.8696497172675,dongguan.csv|s5.0|gx3|gy2,MOBKA,0.45986933589811096,3,0.14485294689292794,28562400.0,0.19830489992260555,29858400.0,5.549478300003102
1026,dongguan.csv,5.0,1,67,113.888608002277,22.8696497172675,dongguan.csv|s5.0|gx3|gy2,NSGA2,0.9264497414993504,61,0.3208371182414185,2944800.0,2.456968946914726,11579763.93442623,10.080404700012878
1026,dongguan.csv,5.0,1,67,113.888608002277,22.8696497172675,dongguan.csv|s5.0|gx3|gy2,NSGA3,0.9310624041913449,39,0.6171002064633653,2371200.0,2.9431150221775764,10420553.846153846,9.58802339999238
1026,dongguan.csv,5.0,1,67,113.888608002277,22.8696497172675,dongguan.csv|s5.0|gx3|gy2,MOEAD,0.8468324067103872,24,0.6580110738297685,7293600.0,2.111489955750685,12070300.0,4.82505189999938
1027,dongguan.csv,5.0,1,68,113.788759520262,22.944102388653,dongguan.csv|s5.0|gx2|gy3,IMOGABKA-seed,0.962910893921656,96,1.8719842769361115e-51,552000.0,5.6667784654822775,13431900.0,31.988195899990387
1027,dongguan.csv,5.0,1,68,113.788759520262,22.944102388653,dongguan.csv|s5.0|gx2|gy3,MOBKA,0.5061444541724109,6,0.15399113131331957,25684800.0,0.29446404793227443,29503200.0,5.644930699985707
